indice_tiempo,superficie_sembrada_arroz_ha,superficie_cosechada_arroz_ha,produccion_arroz_t,rendimiento_arroz_kgxha
1924,5172,5172,13650,2764.94
1925,3556,3556,6529,1716.03
1926,2861,2861,6659,2191.79
1927,4336,4336,7171,1719.4
1928,3445,3012,6250,1701.2
1929,3685,3439,6018,1889.64
1930,3532,3999,5972,1883.92
1931,6115,5555,10038,1685.93
1932,12887,11382,23270,1931.46
1933,18110,14270,32910,2245.77
1934,14640,13800,33743,1989.44
1935,14749,12799,33518,2765.37
1936,15559,13339,36226,1934.89
1937,21797,16483,48225,3287.83
1938,33086,30447,101931,3128.2
1939,32799,30794,96548,2728.65
1940,30170,21273,50970,2438.64
1941,33600,32506,105100,2856.38
1942,41330,34182,99030,2053.11
1943,54155,50199,161471,3016.37
1944,52100,39400,138950,3326.94
1945,43808,36663,117308,2725.86
1946,27694,24118,75379,3094.66
1947,51167,40344,116200,2695.78
1948,50000,41285,121400,3024.28
1949,47505,41955,130470,2877.6
1950,52844,47041,140853,2755.49
1951,62000,56390,173901,3012.1
1952,66045,57730,188016,3277.73
1953,68385,60217,202709,3180.61
1954,125920,107520,329094,3066.54
1955,60380,54150,163600,2987.69
1956,61380,56445,190334,3099.42
1957,65900,61320,219996,3291.69
1958,67200,51700,161800,2898.36
1959,58960,53410,181145,3039.45
1960,52500,46000,149000,2961.14
1961,59000,53060,182300,3008.84
1962,57300,52673,178200,2878.57
1963,57710,54020,190000,3073.14
1964,78700,67880,267600,3118.15
1965,56300,46295,165300,2682.76
1966,68300,61830,216970,2960.98
1967,79700,70800,282900,3224.15
1968,95810,87500,345000,3318.34
1969,109300,101370,411755,3445.39
1970,81200,77200,289533,3285.13
1971,95950,78729,263666,2940.64
1972,74400,66970,236050,2908.4
1973,88700,82650,316550,3451.96
