indice_tiempo,superficie_sembrada_cebada_cervecera_ha,superficie_cosechada_cebada_cervecera_ha,produccion_cebada_cervecera_tm,rendimiento_cebada_cervecera_kgxha
1938,525720,343305,263733,819.02
1939,475753,401064,541975,1446.73
1940,580068,457190,541900,895.11
1941,408630,206887,263345,1189.68
1942,383870,230271,227310,900.34
1943,338550,293680,430482,1386.93
1944,388080,284756,408040,1211.07
1945,576517,598358,610997,1159.36
1946,1052808,837479,1021649,1046.04
1947,983050,704230,837657,1016.3
1948,797670,542105,621402,947.91
1949,570250,307950,308290,859.38
1950,642770,502100,679763,1110.71
1951,643920,309910,295237,720.7
1952,851500,725200,1038710,1265.79
1953,834750,573600,790050,1107.06
1954,817170,672710,975735,1226.91
1955,973270,746170,850408,1040.38
1956,1038428,875340,1199070,1180.99
1957,928200,699400,872300,1047.63
1958,963600,749000,904500,1051.65
1959,936500,767200,968226,1064.47
1960,840300,611830,661269,882.41
1961,800360,618700,678160,1003.95
1962,774100,297200,279192,857.41
1963,706980,579780,875210,1017.3
1964,524670,439050,753250,1211.41
1965,503650,279240,280729,840.88
1966,556200,348400,372000,826.89
1967,517390,379300,468100,960.33
1968,466220,376300,380198,938.76
1969,521050,392910,499500,1029.45
1970,390100,304800,315500,893.83
1971,410530,355600,424226,957.84
1972,551500,500700,764235,1117.14
1973,455405,391600,609995,1256.08
